T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
748	Eswatini	2010	Labour force participation - Female	46.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2010	Unemployment rate - Female	29.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Labour force participation - Total	51.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Unemployment rate - Total	23. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Labour force participation - Male	56.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Unemployment rate - Male	21. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Labour force participation - Female	46.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2015	Unemployment rate - Female	25. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Labour force participation - Total	50.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Unemployment rate - Total	24. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Labour force participation - Male	54.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Unemployment rate - Male	23.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Labour force participation - Female	47.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
748	Eswatini	2023	Unemployment rate - Female	26. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Labour force participation - Total	82.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Unemployment rate - Total	02. Mai		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Labour force participation - Male	89.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Unemployment rate - Male	01. Aug		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Labour force participation - Female	74.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2005	Unemployment rate - Female	03. Mrz		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Labour force participation - Total	81.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Unemployment rate - Total	02. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Labour force participation - Male	88.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Unemployment rate - Male	01. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Labour force participation - Female	74.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2010	Unemployment rate - Female	03. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Labour force participation - Total	81.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Unemployment rate - Total	02. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Labour force participation - Male	87.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Unemployment rate - Male	01. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Labour force participation - Female	74.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2015	Unemployment rate - Female	03. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Labour force participation - Total	80.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Unemployment rate - Total	4.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Labour force participation - Male	86.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Unemployment rate - Male	02. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Labour force participation - Female	75.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
231	Ethiopia	2023	Unemployment rate - Female	05. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
238	Falkland Islands (Malvinas)	2013	Labour force participation - Total	81.9	Break in the time series.	
238	Falkland Islands (Malvinas)	2013	Unemployment rate - Total	01. Feb	Population aged 16 to 65 years.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
238	Falkland Islands (Malvinas)	2013	Labour force participation - Male	86.0	Break in the time series.	
238	Falkland Islands (Malvinas)	2013	Unemployment rate - Male	01. Jan	Population aged 16 to 65 years.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
238	Falkland Islands (Malvinas)	2013	Labour force participation - Female	77.2	Break in the time series.	
238	Falkland Islands (Malvinas)	2013	Unemployment rate - Female	01. Apr	Population aged 16 to 65 years.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
234	Farö Islands	2005	Unemployment rate - Total	03. Feb	Population aged 16 years and over.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
234	Farö Islands	2005	Unemployment rate - Male	02. Jun	Population aged 16 years and over.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
234	Farö Islands	2005	Unemployment rate - Female	03. Sep	Population aged 16 years and over.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
234	Farö Islands	2010	Labour force participation - Total	81.7	Excluding the institutional population.	
234	Farö Islands	2010	Unemployment rate - Total	06. Apr	Break in the time series.	
234	Farö Islands	2010	Labour force participation - Male	85.3	Excluding the institutional population.	
234	Farö Islands	2010	Unemployment rate - Male	05. Jan	Break in the time series.	
234	Farö Islands	2010	Labour force participation - Female	77.5	Excluding the institutional population.	
234	Farö Islands	2010	Unemployment rate - Female	8.0	Break in the time series.	
234	Farö Islands	2013	Labour force participation - Total	82.9	Excluding the institutional population.	
234	Farö Islands	2013	Unemployment rate - Total	4.0	Excluding the institutional population.	
234	Farö Islands	2013	Labour force participation - Male	86.0	Excluding the institutional population.	
234	Farö Islands	2013	Unemployment rate - Male	03. Apr	Excluding the institutional population.	
234	Farö Islands	2013	Labour force participation - Female	79.4	Excluding the institutional population.	
234	Farö Islands	2013	Unemployment rate - Female	04. Sep	Excluding the institutional population.	
242	Fiji	2005	Labour force participation - Total	56.7		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2005	Unemployment rate - Total	03. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2005	Labour force participation - Male	78.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2005	Unemployment rate - Male	03. Mrz		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2005	Labour force participation - Female	34.8		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2005	Unemployment rate - Female	05. Feb		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Labour force participation - Total	62.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Unemployment rate - Total	04. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Labour force participation - Male	79.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Unemployment rate - Male	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Labour force participation - Female	43.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2010	Unemployment rate - Female	04. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Labour force participation - Total	58.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Unemployment rate - Total	04. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Labour force participation - Male	76.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Unemployment rate - Male	03. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Labour force participation - Female	39.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2015	Unemployment rate - Female	05. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Labour force participation - Total	56.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Unemployment rate - Total	04. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Labour force participation - Male	75.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Unemployment rate - Male	03. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Labour force participation - Female	38.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
242	Fiji	2023	Unemployment rate - Female	05. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Labour force participation - Total	60.7		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Unemployment rate - Total	08. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Labour force participation - Male	64.9		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Unemployment rate - Male	08. Feb		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Labour force participation - Female	56.8		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2005	Unemployment rate - Female	08. Jun		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Labour force participation - Total	59.8		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Unemployment rate - Total	08. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Labour force participation - Male	64.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Unemployment rate - Male	09. Jan		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Labour force participation - Female	55.9		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2010	Unemployment rate - Female	07. Jun		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Labour force participation - Total	58.9		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Unemployment rate - Total	09. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Labour force participation - Male	62.4		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Unemployment rate - Male	09. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Labour force participation - Female	55.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2015	Unemployment rate - Female	08. Aug		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Labour force participation - Total	59.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Unemployment rate - Total	07. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Labour force participation - Male	62.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Unemployment rate - Male	07. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Labour force participation - Female	57.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
246	Finland	2023	Unemployment rate - Female	06. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Labour force participation - Total	56.2		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Unemployment rate - Total	08. Mai		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Labour force participation - Male	62.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Unemployment rate - Male	07. Aug		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Labour force participation - Female	50.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2005	Unemployment rate - Female	09. Mrz		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Labour force participation - Total	56.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Unemployment rate - Total	08. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Labour force participation - Male	62.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Unemployment rate - Male	08. Jul		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Labour force participation - Female	51.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2010	Unemployment rate - Female	09. Jan		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Labour force participation - Total	56.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Unemployment rate - Total	10. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Labour force participation - Male	60.8		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Unemployment rate - Male	10. Aug		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Labour force participation - Female	51.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2015	Unemployment rate - Female	09. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Labour force participation - Total	55.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Unemployment rate - Total	07. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Labour force participation - Male	59.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Unemployment rate - Male	07. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Labour force participation - Female	52.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
250	France	2023	Unemployment rate - Female	07. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Labour force participation - Total	42.1	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Unemployment rate - Total	24. Aug	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Labour force participation - Male	48.2	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Unemployment rate - Male	22. Aug	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Labour force participation - Female	36.3	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2005	Unemployment rate - Female	27.0	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Labour force participation - Total	48.9	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Unemployment rate - Total	21.0	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Labour force participation - Male	54.9	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Unemployment rate - Male	17. Aug	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Labour force participation - Female	43.2	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2010	Unemployment rate - Female	25. Jan	Excluding the institutional population.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
254	French Guiana	2013	Labour force participation - Total	53.4	Break in the time series.	
254	French Guiana	2013	Unemployment rate - Total	21. Mrz	Break in the time series.	
254	French Guiana	2013	Labour force participation - Male	58.8	Break in the time series.	
254	French Guiana	2013	Unemployment rate - Male	16. Jul	Break in the time series.	
254	French Guiana	2013	Labour force participation - Female	48.4	Break in the time series.	
254	French Guiana	2013	Unemployment rate - Female	26. Mrz	Break in the time series.	
258	French Polynesia	2005	Labour force participation - Total	56.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2005	Unemployment rate - Total	11. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2005	Labour force participation - Male	65.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2005	Unemployment rate - Male	10. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2005	Labour force participation - Female	47.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2005	Unemployment rate - Female	13. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Labour force participation - Total	56.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Unemployment rate - Total	12. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Labour force participation - Male	63.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Unemployment rate - Male	11. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Labour force participation - Female	48.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2010	Unemployment rate - Female	13. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2015	Labour force participation - Total	56.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2015	Unemployment rate - Total	12. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2015	Labour force participation - Male	63.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
