name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,html,cluster,PC1,PC2,PC3,playlist
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,0.496,0.242,4,-14.544,1,0.0332,0.702,0.0,0.173,0.733,82.67,125440,4,4WfT503LMc9zLewdsok9un ,https://open.spotify.com/track/4WfT503LMc9zLewdsok9un,1,0.24691035207983833,-2.110856693365933,0.05062324859993917,Energetic Party Hits
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,0.553,0.55,1,-13.401,1,0.398,0.8,0.000723,0.906,0.679,137.016,206413,4,1wo6p8AMWXREZVowQCa4BC ,https://open.spotify.com/track/1wo6p8AMWXREZVowQCa4BC,2,-2.860264184566402,3.3035385481125283,0.37644711768388056,Rhythmic Beats
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,0.542,0.224,6,-16.126,1,0.0595,0.774,0.0887,0.114,0.532,79.7,216240,4,1htDFdG7K6pW07cuIanjGG ,https://open.spotify.com/track/1htDFdG7K6pW07cuIanjGG,1,0.7579245975727038,-1.6848063569338227,-0.048787342721599444,Energetic Party Hits
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,0.605,0.485,7,-10.918,1,0.0512,0.876,0.841,0.126,0.694,99.419,207724,4,09VxH0oobfXR1bRXZ78VXP ,https://open.spotify.com/track/09VxH0oobfXR1bRXZ78VXP,1,0.9239649986146207,-0.6902973387593491,0.3724403233530716,Energetic Party Hits
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,0.619,0.402,7,-11.559,1,0.0354,0.87,0.0702,0.0974,0.792,93.237,152200,4,7bM4h5zu7FkChGbSeozZVN ,https://open.spotify.com/track/7bM4h5zu7FkChGbSeozZVN,1,-0.031925654500888793,-1.9864439048652303,0.2240062889197312,Energetic Party Hits
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,0.737,0.802,7,-8.069,1,0.0424,0.0146,0.346,0.0897,0.476,109.821,515787,4,596scNUBRpj2AygfaBVyTj ,https://open.spotify.com/track/596scNUBRpj2AygfaBVyTj,1,0.10778920323397767,-0.45358192977005873,0.5672476055225676,Energetic Party Hits
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,0.682,0.281,9,-12.537,0,0.0341,0.973,0.884,0.115,0.436,118.107,469122,4,4PwzeZs0cTVuzZbCmw85hc ,https://open.spotify.com/track/4PwzeZs0cTVuzZbCmw85hc,0,1.6423969552874875,-0.30493236044121885,-1.2073308637052351,Relaxing Instrumentals
Once Again                                                                                                                                                                       ,Stan Getz                                       ,0.623,0.331,8,-14.346,1,0.0372,0.846,0.0781,0.078,0.583,90.439,402507,4,22QBm5IGpx49Ggg7b0DMhL ,https://open.spotify.com/track/22QBm5IGpx49Ggg7b0DMhL,1,0.5090660152733992,-1.7945746959991413,0.16129884371757883,Energetic Party Hits
Mariana                                                                                                                                                                          ,Bïa                                             ,0.831,0.43,11,-8.214,0,0.103,0.504,0.0,0.233,0.816,140.031,192240,4,4Lx7fiZRVb7j4U1xFZ9fyo ,https://open.spotify.com/track/4Lx7fiZRVb7j4U1xFZ9fyo,1,-1.0877629116903897,-0.6447336843063288,-1.0384738792297679,Energetic Party Hits
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,0.617,0.526,9,-10.638,0,0.0376,0.538,0.389,0.105,0.931,167.706,275853,4,2BkIiZYOniMrWBBlADyVNX ,https://open.spotify.com/track/2BkIiZYOniMrWBBlADyVNX,1,-0.7674013686929753,-0.8800486054023928,-0.5008149809046196,Energetic Party Hits
Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,0.746,0.557,0,-9.756,1,0.0609,0.0519,0.00188,0.053,0.693,150.165,216067,4,4lnLWhIiUKxq4Rh898vkVk ,https://open.spotify.com/track/4lnLWhIiUKxq4Rh898vkVk,1,-0.7515399456595242,-1.1519838680895405,1.0015362965078034,Energetic Party Hits
Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,0.73,0.145,9,-18.707,1,0.051,0.875,1.38e-05,0.131,0.56,136.846,191227,4,1b0Mc4h1XFArQAnQYBmIQb ,https://open.spotify.com/track/1b0Mc4h1XFArQAnQYBmIQb,1,0.20799852880379685,-1.5234705676671638,0.7473063649220631,Energetic Party Hits
Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,0.771,0.278,7,-17.141,1,0.0471,0.72,0.661,0.294,0.742,123.542,403933,4,5Q2pilVN5fcIfzWGF9aGvV ,https://open.spotify.com/track/5Q2pilVN5fcIfzWGF9aGvV,1,0.519306333383573,-0.7000664229785516,0.6893219889248087,Energetic Party Hits
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,0.621,0.18,2,-23.524,1,0.0619,0.875,0.827,0.698,0.884,169.916,136880,4,1SEK1Yd01136xaLxAe0G70 ,https://open.spotify.com/track/1SEK1Yd01136xaLxAe0G70,2,-0.3033156568709953,0.5158369601444694,1.3907951911704166,Rhythmic Beats
August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,0.718,0.294,4,-13.342,0,0.0385,0.602,0.0072,0.125,0.237,103.021,277227,4,7fnFmtEpfKLnJRkayFeeZ5 ,https://open.spotify.com/track/7fnFmtEpfKLnJRkayFeeZ5,1,0.8791074031418515,-0.9118850605969742,-1.4927872372124042,Energetic Party Hits
Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,0.573,0.805,9,-11.327,0,0.0746,0.373,0.489,0.0834,0.694,100.029,349373,4,5ZItv6TcaDqcf8Jp2se0po ,https://open.spotify.com/track/5ZItv6TcaDqcf8Jp2se0po,1,-0.1523374442243599,-0.27833270108658,-1.4466159055361367,Energetic Party Hits
